//Data from telnet that shows voltage, current, power, energy when running TPBench
5.034,0.553,2.782,0.000
5.035,0.542,2.729,0.000
5.036,1.128,5.683,0.000
5.031,1.147,5.775,0.000
5.030,1.148,5.779,0.000
5.029,1.145,5.760,0.000
5.029,1.165,5.859,0.000
5.027,1.161,5.840,0.000
5.027,1.161,5.840,0.000
5.026,1.162,5.844,0.000
5.026,1.155,5.809,0.000
5.026,1.172,5.893,0.000
5.026,1.158,5.821,0.000
5.025,1.168,5.870,0.000
5.025,1.174,5.901,0.000
5.025,1.169,5.874,0.000
5.025,1.168,5.874,0.000
5.025,1.172,5.893,0.000
5.024,1.166,5.859,0.000
5.024,1.170,5.878,0.000
5.024,1.164,5.851,0.000
5.024,1.177,5.916,0.000
5.024,1.172,5.889,0.000
5.024,1.170,5.882,0.000
5.023,1.180,5.928,0.000
5.023,1.174,5.897,0.000
5.024,1.175,5.905,0.000
5.023,1.181,5.935,0.000
5.023,1.175,5.905,0.000
5.023,1.174,5.897,0.000
5.031,0.561,2.824,0.000
5.031,0.549,2.760,0.000
5.031,0.547,2.756,0.000
5.032,0.544,2.737,0.000
5.031,0.545,2.744,0.000
5.032,0.539,2.714,0.000
5.032,0.544,2.741,0.000
5.032,0.546,2.748,0.000
5.032,0.542,2.729,0.000
5.031,0.521,2.626,0.000
5.026,1.177,5.920,0.000
5.024,1.198,6.023,0.000
5.023,1.199,6.027,0.000
5.024,1.170,5.882,0.000
5.023,1.210,6.080,0.000
5.023,1.192,5.992,0.000
5.023,1.210,6.076,0.000
5.021,1.216,6.107,0.000
5.021,1.214,6.099,0.000
5.021,1.217,6.115,0.000
5.021,1.210,6.080,0.000
5.021,1.215,6.107,0.000
5.020,1.213,6.092,0.000
5.021,1.217,6.115,0.000
5.020,1.210,6.073,0.000
5.021,1.217,6.115,0.000
5.020,1.225,6.153,0.000
5.020,1.220,6.126,0.000
5.030,0.656,3.298,0.000
5.031,0.562,2.828,0.000
5.031,0.551,2.771,0.000
5.031,0.548,2.760,0.000
5.031,0.542,2.729,0.000
5.031,0.524,2.637,0.000
5.031,0.545,2.744,0.000
5.031,0.547,2.752,0.000
5.032,0.535,2.695,0.000
5.032,0.539,2.714,0.000
5.029,1.115,5.611,0.000
5.025,1.126,5.660,0.000
5.025,1.136,5.710,0.000
5.024,1.135,5.721,0.000
5.025,1.143,5.748,0.000
5.023,1.131,5.683,0.000
5.024,1.139,5.725,0.000
5.023,1.137,5.714,0.000
5.023,1.132,5.691,0.000
5.024,1.124,5.653,0.000
5.025,1.107,5.565,0.000
5.023,1.145,5.752,0.000
5.023,1.143,5.744,0.000
5.023,1.151,5.783,0.000
5.023,1.144,5.752,0.000
5.023,1.153,5.794,0.000
5.023,1.152,5.786,0.000
5.021,1.137,5.710,0.000
5.023,1.138,5.718,0.000
5.021,1.147,5.763,0.000
5.030,0.569,2.863,0.000
5.031,0.557,2.805,0.000
5.031,0.550,2.767,0.000
5.031,0.553,2.786,0.000
5.030,0.518,2.607,0.000
5.031,0.545,2.748,0.000
5.031,0.555,2.798,0.000
5.031,0.546,2.748,0.000
5.031,0.546,2.748,0.000
5.031,0.546,2.748,0.000
5.027,0.969,4.874,0.000
5.023,1.194,5.996,0.000
5.023,1.201,6.034,0.000
5.021,1.204,6.050,0.000
5.021,1.206,6.061,0.000
5.021,1.215,6.103,0.000
5.020,1.198,6.019,0.000
5.021,1.210,6.076,0.000
5.020,1.218,6.118,0.000
5.021,1.210,6.076,0.000
5.020,1.214,6.099,0.000
5.020,1.213,6.092,0.000
5.020,1.215,6.103,0.000
5.020,1.205,6.050,0.000
5.020,1.216,6.111,0.000
5.020,1.200,6.027,0.000
5.030,0.556,2.798,0.000
5.031,0.560,2.817,0.000
5.031,0.545,2.744,0.000
5.031,0.550,2.767,0.000
5.031,0.552,2.779,0.000
5.031,0.546,2.752,0.000
5.031,0.544,2.741,0.000
5.031,0.532,2.679,0.000
5.031,0.543,2.733,0.000
5.031,0.539,2.714,0.000
5.031,0.524,2.637,0.000
5.032,0.534,2.687,0.000
5.032,0.527,2.653,0.000
5.031,0.546,2.748,0.000
